SKU,Qty,Amount,% of Sales,Avg Price
RFID01 (RFID01- RFID Bracelet -  RFID Bracelet.),1000.0,2070.0,0.0%,2.07
RFID06 (RFID06 -  -  RFID PVC Card with Ntag 213 chipset..),2100.0,2058.0,0.0%,0.98
RFID17 (RFID17- RFID Bracelet -  RFID Elastic Bracelet.    Chipset:  Mifare Class...,500.0,1210.0,0.0%,2.42
RFID52 (RFID52 - Digital Business Card powered by Hiwav.  PVC RFID business card ...,4666.0,26783.61,0.1%,5.74
RFID60 (RFID60 - NFC Acrylic Table Stand),112.0,891.52,0.0%,7.96
SA03-BLACK (SA03 - Keep Away - Black Portable Safety Alarm with LED light and key...,770.0,7016.4,0.0%,9.11
SC03 (SC03  - Wipee - Microfiber Mobile Device Screen Clearn with Self Adhesive S...,1000.0,950.0,0.0%,0.95
SC10 (SC10  - Wipee 6 x 6L  -15cm x 15cm  Microfiber Screen Cleaner cloth.),7500.0,3488.0,0.0%,0.47
SC12 (SC12   - Large Wipee  (30 x 30cm)   -  Large Microfiber Cleaner Cloth. ( ap...,500.0,850.0,0.0%,1.7
"SC21B-DARKBLUE (SC21B  -Spray & Wipe, Navy  Blue, Water based screen cleaner with...",30205.0,49081.61,0.2%,1.62
"SC21B-GREY (SC21B  -Spray & Wipe,  Grey,   Water based screen cleaner with integr...",56734.0,94376.29,0.5%,1.66
SC23 (SC23- - Grey Sticky Microfiber Camera cover / Screen Cleaner.),500.0,550.0,0.0%,1.1
SD-16G-BLACK (16GB SD card),500.0,250.0,0.0%,0.5
SD-ADAPTER-MICRO (SD card adapter for Micro SD Cards.),100.0,30.0,0.0%,0.3
"Seneca-HDsV4 (Intel Celeron, 8GB DDR4, 64GB eMMC, 1x Realtek Gigabit 10/100/1000 ...",271.0,0.0,0.0%,0.0
"SL02B-BLACK (SL02B -Selfie Ring - Black, Round Selfie Light for Mobile phones.)",2400.0,5267.3,0.0%,2.19
"SL06-BLACK (SL06 -8"" Ring light with Tripod stand and phone holder.)",313.0,7639.81,0.0%,24.41
"SL07-BLACK (SL07 -10"" Ring light with Tripod stand and phone holder.)",50.0,1297.5,0.0%,25.95
SL08-BLACK (SL08 -Black Clip on USB Ring Light.),25.0,492.25,0.0%,19.69
"SL14-WHITE (SL14 -Selfie Ring - White, Round Selfie Light for Mobile phones with ...",30057.0,68764.91,0.3%,2.29
SLV01 (SLV01- IDControl - RFID Sleeve- Custom Design RFID protective sleeve.),2000.0,1500.0,0.0%,0.75
SLV04-BLACK (SLV04-Black - Vaccine Card Holder-),2000.0,349.0,0.0%,0.17
SLV04-RED (SLV04-Red - Vaccine Card Holder-),500.0,85.0,0.0%,0.17
"SP66-BLACK (SP66 -"""" Black Bluetooth Speaker.)",3093.0,18306.35,0.1%,5.92
"SP66B-BLACK (SP66 -"""" Black Bluetooth Speaker.)",1564.0,8754.18,0.0%,5.6
SP76-WHITE (SP76 - White Bluetooth Wireless Speaker with integrated Wireless Char...,2445.0,41842.96,0.2%,17.11
SP82B (SP82 - Wood light up Bluetooth speaker.  Recharges vis USB C.),2381.0,9945.88,0.0%,4.18
SP88B (SP88B - Black - IPX 7 Waterproof Bluetooth speaker.  Recharges via Type C.),2916.0,63223.93,0.3%,21.68
SP89 (SP89 - Black - Rectangular IPX 4 Water proof   Bluetooth speaker with carab...,520.0,2961.0,0.0%,5.69
SP89B (SP89B - Black - Rectangular IPX 4 Water proof   Bluetooth speaker with car...,13985.0,81180.42,0.4%,5.8
SP91 (SP91 - Bamboo Wireless speaker with convenient phone holder on top.),1392.0,9399.89,0.0%,6.75
SP93 (SP93 - Speaker with white noise machine.),100.0,1600.0,0.0%,16.0
ST01B-BLACK (ST01B - Black  Silicone / Stainless Steel retractable straw.),1368.0,1135.99,0.0%,0.83
ST01B-BLUE (ST01B - Blue  Silicone / Stainless Steel retractable straw.),1156.0,989.71,0.0%,0.86
ST01B-RED (ST01B - Red Silicone / Stainless Steel retractable straw.),1702.0,1363.0,0.0%,0.8
"TA06 (TA06 -Black with Grey Trim Universal Travel Adapter, with 4 USB (Total 2.4A...",1000.0,15721.0,0.1%,15.72
"TA09-BLACK (TA09 -Black Universal Travel Adapter, with 3 USB. 1 Type C and 1 PD T...",801.0,17248.0,0.1%,21.53
TA11-BLACK (TA11 - Travel Spot -Black Travel Charger.  Features 2  integrated USB...,1762.0,15766.27,0.1%,8.95
TA14-WHITE (TA14 -White Travel Adapter / Charger.  Features 1 USBA and 1 USB Type...,1182.0,12765.9,0.1%,10.8
TC02 (Time Cube 02 - White 5-15-30-60 Minute Timer Cube),2.0,0.0,0.0%,0.0
