,"Jan 1, '24 - Feb 18, 25"
,"Qty","Amount","% of Sales","Avg Price"
"20-3018-0033 (21.5"" Finished Flex-OS, Outdoor, PoE++, 1500 NITS 1920 x 1080  )",0,0.00,0.0%,0.00
"20-3018-0036 (19.5"" Finished Flex-OS,1920 x 1080   )",5,2875.00,0.0%,575.00
"20-3018-0038 (48.5"" UW Finished Flex-OS, 3840x512, (48.5x7.5""))",5,4010.00,0.0%,802.00
"20-3018-0040 (21.5"" Frameless Flex-OS,1920 x 1080   )",5,1930.00,0.0%,386.00
"20-3018-0044 (20.9"" UW Finished Countertop, Flex-OS, 1920x360  )",26,19994.00,0.1%,769.00
"20-3018-0045 (69"" UW Frameless Flex-OS,     )",1,1498.00,0.0%,1498.00
"20-3018-0047 (18.5"" Custom Frameless Flex-OS, 700nits, w/ removable mounting ear,...",48,27312.00,0.1%,569.00
"20-3018-0048 (21.5"" Custom Frameless Flex-OS, 1500nits, w/ removable mounting ear...",24,19062.24,0.1%,794.26
"20-3018-0050 (21.5"" Finished Flex-OS, PoE+, w/ Port Cover 1920 x 1080)",50,24950.00,0.1%,499.00
"20-3018-0051 (55"" Finished Flex-OS, Dual Sided , 3500NIT/500NIT , 3840 x 2160  )",2,6272.00,0.0%,3136.00
"20-3018-0053 (21.5"" Finished Flex-OS Mirror 1500nits 1920x1080)",10,9150.00,0.0%,915.00
"20-3018-0054 (65"" Finished Flex-OS, 3840x2160     )",1,1241.00,0.0%,1241.00
"20-3018-0057 (15"" Finished Flex-OS, Outdoor,  POE, IK10, AG, 1500Nits, 1024 x 768...",1,2300.00,0.0%,2300.00
"20-3018-0060 (50.5"" Finished Flex-OS, 3840x1350  )",2,2576.00,0.0%,1288.00
"20-3018-0063 (28.4"" Custom Finished Flex-OS, 1920 x 494)",1,749.00,0.0%,749.00
"20-3018-0068 (43"" Dual Finished Flex-OS, 2000 NIT4K/ 500 NIT 4K)",2,5732.00,0.0%,2866.00
"20-3018-0069 (23.8"" Frameless Flex-OS, 1920x1080)",4,1912.00,0.0%,478.00
"20-3018-0073 (43.6"" Finished Flex-OS, 3840x600 ( 8"" Height)   )",6,6984.00,0.0%,1164.00
"20-3018-0074 (46.6"" Finished Flex-OS, 3840x1576 ( 19"" Height)     )",6,6984.00,0.0%,1164.00
"20-3018-1017 (22"" Square Finished Flex-OS, Black, Touch, 1920x1920  )",8,9816.00,0.0%,1227.00
"20-3018-1020 (48.5"" UW Finished Flex-OS, Touch, 3840x720, (48.5x10""))",3,5683.98,0.0%,1894.66
"20-3018-1029 (49.1"" UW Finished Flex-OS, Touch, 3840x960  (48.5x13""))",4,7604.00,0.0%,1901.00
"20-3018-1030 (55"" Finished Flex-OS, IK10, Touch, 3840X2160  )",9,13176.00,0.1%,1464.00
"20-3018-1031 (15.6"" Outdoor Finished Flex OS, HS145 Touch POE++, IK10, AntiGlare,...",105,133518.00,0.6%,1271.60
"20-3018-1034 (22"" White Square Finished Flex-OS, Touch,  1920x1920  )",1020,1230015.00,5.4%,1205.90
"20-3018-1037 (28"" UW Finished Flex-OS, Touch, 1920x360)",9,9000.00,0.0%,1000.00
"20-3022-0033 (21.5"" Finished Bright Sign Built-In (HS145) POE, Outdoor 1920 x 1080)",1,1217.00,0.0%,1217.00
"20-3041-0019 (35.4"" Finished Intel,1920x438)",305,262300.00,1.1%,860.00
"20-3041-0020 (48.5"" UW Finished Intel, 3840x720, (48.5x10""))",4,4376.00,0.0%,1094.00
"20-3041-1002 (43"" Finished Intel, Touch, 3840 x 2160      )",4,3208.00,0.0%,802.00
"20-3041-1014 (13.3"" Finished Intel, Touch, PoE, 1920x1080)",8,3815.00,0.0%,476.88
"20-3041-1015 (15.6"" Finished Intel, Touch, PoE, 1920x1080)",2,1220.00,0.0%,610.00
"20-3041-1016 (21.5"" Finished Intel, Touch, PoE, 1920x1080)",2,1340.00,0.0%,670.00
"20-3041-1019 (35.4"" Finished Intel, Touch 1920x438)",1,990.00,0.0%,990.00
"20-3041-1022 (13.3"" Finished Intel, Touch, PoE, Outdoor, 1920 x 1080)",1,1389.00,0.0%,1389.00
"21-1000-1001 (Win 10 IoT Enterprise LTSC 2021 21H2 x64 English (1:M))",539,34712.00,0.2%,64.40
"21-1000-1002 (Win 11 IoT Enterprise LTSC 2024 ESD OEI Entry EPKEA (1:M))",158,375.00,0.0%,2.37
"21-1000-1005 (Windows® 11 IoT Enterprise Entry (ESD) ePKEA (1:M))",6,420.00,0.0%,70.00
"21-1000-1007 (Debian 10)",100,0.00,0.0%,0.00
"21-1000-1008 (Win 10 IoT Enterprise LTSC 2021 21H2 x64 English (1:1))",10,650.00,0.0%,65.00
"21-1000-1013 (Windows 11 loT Enterprise LTSC)",2,0.00,0.0%,0.00
"21-1000-1015 (Debian 12 (128GB EmmC))",7,0.00,0.0%,0.00
"21-1001-1015 (Debian 12 (64GB EmmC))",6,0.00,0.0%,0.00
"70-2003-0002 (DIO Board, 2BBL, ROHS  )",300,16833.00,0.1%,56.11
"70-2059-0001 (Lower Board, Watt, ROHS.  )",590,53631.00,0.2%,90.90
"70-2059-0002 (ONE BARREL WATT BOARD ROHS  )",20,1155.00,0.0%,57.75
"70-2061-0002 (RAM/EEPROM PIGGYBACK  )",40,1308.00,0.0%,32.70
"70-2065-0002 (ANNUNCIATOR, PCB, MASTER LED STATUS  )",116,987.40,0.0%,8.51
"70-2077-0001 (ASSY, Watt Board, 550, ROHS  )",1,74.10,0.0%,74.10
"70-2085-0002 (DIO 2BBL ASSY, ROHS  )",100,5340.00,0.0%,53.40
"70-2085-0004 (DIO 4BBL ASSY, ROHS  )",200,17920.00,0.1%,89.60
"70-2145-0001 (35X MAIN BOARD ASSY  )",10,1470.10,0.0%,147.01
"70-2177-0001 (Power Adapter POWER SUPPLY, LGP NO ANUCT  )",180,2989.80,0.0%,16.61
"70-2203-0001 (Upper Control Board. Piggy Back Installed, ROHS.  )",200,29400.00,0.1%,147.00
"AC03-WHITE (AC03 - White - USB AC Charger - Color.  AC USB Adapter with single US...",4350,11722.70,0.1%,2.69
"AC05-WHITE (AC05 - Quad Charge -White Color 4 USB Charger for AC Outlets. UL Listed)",2917,24826.43,0.1%,8.51
"AC12B-WHITE (AC12 - """" -White Color 2 USB / 1 AC Outlet  charger for AC Outlets w...",562,4507.80,0.0%,8.02
"AC25B-WHITE (AC25B - White AC Charger. ETL Certified, Input:100 -240VAC          ...",459,9522.96,0.0%,20.75
"AC26-WHITE (AC26 - White AC Charger ETL Certified, PD32W Dual Port Wall Charger  ...",1199,9284.49,0.0%,7.74
